genome	coverage	abundance	hits_per_million
gb|Z21523|+|0-1974|ARO:3000191|tetQ	169.56129685916338	0.28394466519658795	13256000.0
gb|HM990671|+|5192-6671|ARO:3003112|lsaC	110.08248816768302	0.18434239313905623	6448000.0
gb|AB039845.1|+|25-1945|ARO:3000186|tetM	84.37708333333474	0.1412965288726711	6416000.0
gb|M18896.2|+|206-2126|ARO:3000190|tetO	67.33333333333412	0.11275533476123326	5120000.0
gb|AF472622|+|52-1018|ARO:3003003|CfxA3	44.95859213250528	0.07528694712318298	1720000.0
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	22.16563146997926	0.037118215790964484	848000.0
gb|AY769933|+|0-966|ARO:3003005|CfxA4	21.120082815734968	0.03536735655554166	808000.0
gb|U38243|+|149-1115|ARO:3003001|CfxA	20.283643892339533	0.03396666916720339	776000.0
gb|AY769934|+|27-993|ARO:3003096|CfxA5	19.23809523809524	0.032215809931780554	736000.0
gb|AF227521.1|+|3269-4487|ARO:3000616|mel	16.916256157635416	0.028327694940013845	816000.0
gb|EU722333.1|+|1932-3852|ARO:3000196|tet32	6.312500000000007	0.010570812633865506	480000.0
gb|M11036|+|0-1377|ARO:3000179|tet(L)	5.281045751633994	0.008843555667547614	288000.0
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	2.4197916666666655	0.00405214484298177	184000.0
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bifidobacterium	2.2690255546194895	0.003799674296924413	320000.0
gb|M17124|+|1181-1982|ARO:3000498|ErmF	2.0174781523096135	0.0033784369965912196	64000.0
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	1.9989583333333314	0.0033474240007240696	152000.0
gb|AF002716.1|+|210-942|ARO:3005099|23S	0.8278688524590163	0.0013863360831299007	24000.0
