genome	coverage	abundance	hits_per_million
gb|HM990671|+|5192-6671|ARO:3003112|lsaC	238.05679513185098	0.4421574731047515	13944000.0
gb|Z21523|+|0-1974|ARO:3000191|tetQ	71.01722391084238	0.13190464172190777	5552000.0
gb|AB039845.1|+|25-1945|ARO:3000186|tetM	61.44166666666725	0.11411937248685249	4672000.0
gb|M18896.2|+|206-2126|ARO:3000190|tetO	49.86875000000017	0.09262428520336942	3792000.0
gb|AF227521.1|+|3269-4487|ARO:3000616|mel	19.23809523809517	0.03573209314656783	928000.0
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	16.51966873706008	0.030682993028031246	632000.0
gb|AF472622|+|52-1018|ARO:3003003|CfxA3	16.101449275362363	0.029906208394410213	616000.0
gb|AF242872.1|+|2131-2878|ARO:3000375|ErmB	13.79116465863453	0.02561517520747942	408000.0
gb|AY769934|+|27-993|ARO:3003096|CfxA5	12.75569358178057	0.02369193132544185	488000.0
gb|AY769933|+|0-966|ARO:3003005|CfxA4	11.082815734989673	0.02058479279095767	424000.0
gb|U38243|+|149-1115|ARO:3003001|CfxA	10.664596273291949	0.019808008157336625	408000.0
gb|EU722333.1|+|1932-3852|ARO:3000196|tet32	5.996875000000006	0.01113836341053174	456000.0
gb|AF002716.1|+|210-942|ARO:3005099|23S	3.587431693989073	0.006663156713806732	104000.0
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bifidobacterium	3.006458859870819	0.005584080268482179	424000.0
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	2.314583333333332	0.004299017456696454	176000.0
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	2.1041666666666647	0.003908197687905866	160000.0
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bifidobacteria	0.8507821901323711	0.0015802098954709662	112000.0
