genome	coverage	abundance	hits_per_million
gb|HM990671|+|5192-6671|ARO:3003112|lsaC	221.25760649087695	0.4909172663209691	12960000.0
gb|AB039845.1|+|25-1945|ARO:3000186|tetM	52.183333333333586	0.11578223119109948	3968000.0
gb|EU722333.1|+|1932-3852|ARO:3000196|tet32	43.97708333333329	0.09757454160862762	3344000.0
gb|M18896.2|+|206-2126|ARO:3000190|tetO	33.35104166666624	0.07399791791850381	2536000.0
gb|Z21523|+|0-1974|ARO:3000191|tetQ	22.30800405268482	0.049496080791566754	1744000.0
gb|AF002716.1|+|210-942|ARO:3005099|23S	16.557377049180296	0.036736826395906516	480000.0
gb|AF242872.1|+|2131-2878|ARO:3000375|ErmB	11.898259705488615	0.026399368687178907	352000.0
gb|AF227521.1|+|3269-4487|ARO:3000616|mel	6.302134646962238	0.013982916844944421	304000.0
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	5.8550724637681215	0.012990993682030747	224000.0
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bifidobacterium	5.672563886548702	0.012586051166247086	800000.0
gb|AY769934|+|27-993|ARO:3003096|CfxA5	4.391304347826087	0.00974324526152305	168000.0
gb|U38243|+|149-1115|ARO:3003001|CfxA	2.927536231884057	0.006495496841015366	112000.0
gb|AF472622|+|52-1018|ARO:3003003|CfxA3	2.927536231884057	0.006495496841015366	112000.0
gb|M36726.1|+|295-1150|ARO:3000596|ErmX	2.598830409356726	0.005766177897462766	88000.0
gb|CP000732.1|-|9682-10528|ARO:3000621|PC1	2.1489361702127656	0.004767971085426173	72000.0
gb|X52085.1|+|342-1809|ARO:3000251|msrA	1.9277436946148614	0.004277198328848568	112000.0
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	1.8937499999999983	0.004201774519031812	144000.0
gb|AY769933|+|0-966|ARO:3003005|CfxA4	1.881987577639751	0.004175676540652735	72000.0
gb|AE015929.1|-|1128933-1129419|ARO:3002865|dfrC	1.6625514403292176	0.0036888006751445283	32000.0
gb|AF535087|+|28-1573|ARO:3003047|qacB	1.5689320388349515	0.003481081802175226	96000.0
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	1.4729166666666658	0.0032680468481358547	112000.0
gb|S67449.1|+|0-1380|ARO:3000178|tet(K)	1.4637681159420297	0.003247748420507685	80000.0
gb|AY566250|+|391-1555|ARO:3000391|norA	1.3883161512027489	0.0030803387081103795	64000.0
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bifidobacteria	1.2154031287605294	0.0026966864141399535	160000.0
gb|AB566411|+|0-1545|ARO:3003046|qacA	1.0459546925566343	0.002320721201450151	64000.0
gb|M12730|+|779-1514|ARO:3000250|ErmC	0.8244897959183674	0.0018293440082859606	24000.0
