genome	coverage	abundance	hits_per_million
gb|AB039845.1|+|25-1945|ARO:3000186|tetM	541.5072916665621	0.3116858796939134	41176000.0
gb|HM990671|+|5192-6671|ARO:3003112|lsaC	422.02839756586326	0.2429150897419971	24720000.0
gb|AF227521.1|+|3269-4487|ARO:3000616|mel	201.8341543513898	0.1161736082217462	9736000.0
gb|AF242872.1|+|2131-2878|ARO:3000375|ErmB	170.90227576975005	0.09836954549780369	5056000.0
gb|AY225127.1|+|40-1537|ARO:3000300|lsaA	68.81763527054173	0.03961070426538484	4080000.0
gb|NZ_PTWF01000025.1|+|35858-37586|ARO:3003948|efrA	67.91782407407503	0.039092782441163404	4648000.0
gb|AB091338|+|173-1355|ARO:3003551|emeA	66.1370558375643	0.03806779104608982	3096000.0
gb|L09756|+|0-1926|ARO:3000192|tetS	64.39667705088414	0.03706604739189531	4912000.0
gb|HG970103.1|+|0-1086|ARO:3003949|efrB	58.591160220994716	0.033724453200923425	2520000.0
gb|AIIS01000002.1|-|233812-234307|ARO:3002875|dfrE	53.86666666666694	0.0310050845936109	1056000.0
gb|M18896.2|+|206-2126|ARO:3000190|tetO	4.313541666666669	0.002482829039722737	328000.0
gb|AF477396.1|+|0-903|ARO:3004773|CKO-1	4.250276854928018	0.002446414482054004	152000.0
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bifidobacterium	3.403538331929227	0.00195904072832418	480000.0
gb|M17124|+|1181-1982|ARO:3000498|ErmF	3.2784019975031224	0.0018870135754538383	104000.0
gb|AF472622|+|52-1018|ARO:3003003|CfxA3	1.6728778467908898	0.0009628908258885321	64000.0
gb|BA000007.3|-|1737690-1738104|ARO:3000676|H-NS	0.9758454106280193	0.0005616863151016439	16000.0
gb|LAPJ01000014.1|+|36822-37245|ARO:3004113|FosA7	0.9550827423167849	0.0005497355424399069	16000.0
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	0.836438923395445	0.0004814454129442661	32000.0
gb|AY769934|+|27-993|ARO:3003096|CfxA5	0.836438923395445	0.0004814454129442661	32000.0
gb|AF002716.1|+|210-942|ARO:3005099|23S	0.8278688524590163	0.00047651257059852574	24000.0
