genome	coverage	abundance	hits_per_million
gb|AB039845.1|+|25-1945|ARO:3000186|tetM	71.2260416666676	0.44149158296720925	5416000.0
gb|HM990671|+|5192-6671|ARO:3003112|lsaC	41.24678837052117	0.25566645940029614	2416000.0
gb|AF227521.1|+|3269-4487|ARO:3000616|mel	33.998357963875115	0.21073737251892566	1640000.0
gb|AF242872.1|+|2131-2878|ARO:3000375|ErmB	4.326639892904951	0.026818492935310884	128000.0
gb|Z21523|+|0-1974|ARO:3000191|tetQ	3.683890577507592	0.022834438703659424	288000.0
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	2.524999999999999	0.015651104861466588	192000.0
gb|M18896.2|+|206-2126|ARO:3000190|tetO	1.2624999999999995	0.007825552430733294	96000.0
gb|AB091338|+|173-1355|ARO:3003551|emeA	1.1962774957698818	0.007415075061270131	56000.0
gb|L09756|+|0-1926|ARO:3000192|tetS	1.0488058151609556	0.0065009781356039865	80000.0
gb|AIIS01000002.1|-|233812-234307|ARO:3002875|dfrE	0.8161616161616162	0.0050589429855245555	16000.0
